Unnamed: 0,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage,Monat
827,nicht klassifiziert,2012-03-23 00:00:00,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1409,Auto,Gut,3
828,Bundesstrasse,2018-02-05 00:00:00,17,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1425,Auto,Regen,2
829,Bundesstrasse,2010-12-01 00:00:00,22,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Schnee,weiblich,1620,Auto,Schnee,12
830,Bundesstrasse,2018-11-05 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1400,Transporter,Gut,11
831,Bundesstrasse,2018-07-10 00:00:00,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1625,Auto,Gut,7
832,Bundesstrasse,2018-06-26 00:00:00,49,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,2350,Auto,Gut,6
833,Bundesstrasse,2018-01-26 00:00:00,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,645,Auto,Gut,1
834,nicht klassifiziert,2018-01-29 00:00:00,23,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,Frost / Eis,männlich,2110,Auto,Gut,1
835,nicht klassifiziert,2010-05-18 00:00:00,62,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1120,Bus,Gut,5
836,nicht klassifiziert,2018-02-21 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1620,Auto,Gut,2
837,nicht klassifiziert,2018-06-18 00:00:00,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1545,Fahrrad,Gut,6
838,Autobahn,2018-09-18 00:00:00,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1735,Auto,Gut,9
839,nicht klassifiziert,2018-08-09 00:00:00,51,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1455,Auto,Gut,8
840,Bundesstrasse,2010-03-26 00:00:00,19,Fahrer,3,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1203,Fahrrad,Gut,3
841,Bundesstrasse,2012-05-04 00:00:00,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1600,Auto,Gut,5
842,nicht klassifiziert,2011-03-16 00:00:00,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1225,Auto,Gut,3
843,nicht klassifiziert,2018-04-22 00:00:00,44,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1710,Auto,Gut,4
844,Bundesstrasse,2018-08-11 00:00:00,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,750,Mottorrad (50cc),Gut,8
845,Bundesstrasse,2018-08-10 00:00:00,43,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,800,Auto,Andere,8
846,nicht klassifiziert,2018-10-24 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1113,Fahrrad,Gut,10
847,nicht klassifiziert,2012-03-20 00:00:00,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1910,Fahrrad,Gut,3
848,Bundesstrasse,2018-02-08 00:00:00,23,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,Frost / Eis,männlich,130,Auto,Gut,2
849,Bundesstrasse,2018-01-13 00:00:00,25,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,1,2,nass / feucht,weiblich,650,Auto,Regen,1
850,Bundesstrasse,2010-03-30 00:00:00,70,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,1900,Auto,Regen,3
851,Kraftfahrzeugstrasse,2009-05-01 00:00:00,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1419,Auto,Gut,5
852,Bundesstrasse,2018-06-05 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1930,Fahrrad,Gut,6
853,Landesstrasse,2018-11-12 00:00:00,39,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,930,Auto,Gut,11
854,nicht klassifiziert,2011-05-27 00:00:00,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1720,Auto,Gut,5
855,Kraftfahrzeugstrasse,2009-05-30 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1950,Taxi,Gut,5
856,Autobahn,2018-02-04 00:00:00,38,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,700,Auto,Regen (starker Wind),2
857,Bundesstrasse,2009-10-16 00:00:00,11,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,8,4,trocken,männlich,1558,Bus,Gut,10
858,nicht klassifiziert,2018-08-03 00:00:00,71,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1320,Taxi,Gut,8
859,nicht klassifiziert,2018-01-29 00:00:00,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1225,Fahrrad,Gut,1
860,nicht klassifiziert,2018-09-17 00:00:00,83,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,männlich,1600,Auto,Gut,9
861,Autobahn,2018-02-24 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1326,Auto,Gut,2
862,nicht klassifiziert,2009-03-01 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1703,Auto,Gut,3
863,Kraftfahrzeugstrasse,2018-07-25 00:00:00,55,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,5,trocken,weiblich,1740,Auto,Gut,7
864,Bundesstrasse,2018-06-27 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,trocken,männlich,1750,Auto,Gut,6
865,nicht klassifiziert,2018-02-28 00:00:00,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,trocken,weiblich,104,Auto,Gut,2
866,Bundesstrasse,2018-09-29 00:00:00,65,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,812,Bus,Gut,9
867,nicht klassifiziert,2018-08-24 00:00:00,10,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1750,Auto,Gut,8
868,nicht klassifiziert,2018-01-09 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1600,Auto,Gut,1
869,Bundesstrasse,2018-07-03 00:00:00,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,3,nass / feucht,männlich,2035,Auto,Gut,7
870,nicht klassifiziert,2018-12-21 00:00:00,61,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,weiblich,1639,Taxi,Gut,12
871,nicht klassifiziert,2018-01-28 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,853,Auto,Gut,1
872,nicht klassifiziert,2018-02-11 00:00:00,76,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1320,Bus,Gut,2
873,nicht klassifiziert,2018-10-04 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1434,Auto,Gut,10
874,nicht klassifiziert,2018-01-02 00:00:00,12,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1645,Auto,Gut,1
875,nicht klassifiziert,2009-10-29 00:00:00,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1345,Auto,Gut,10
876,nicht klassifiziert,2009-03-21 00:00:00,21,Passagier,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,535,Auto,Gut,3
877,Autobahn,2018-10-15 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,weiblich,1215,Auto,Gut,10
878,nicht klassifiziert,2012-10-28 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2330,Fahrrad,Gut,10
879,Bundesstrasse,2018-03-09 00:00:00,28,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,850,Auto,Gut,3
880,Bundesstrasse,2018-09-13 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,800,Auto,Gut,9
881,nicht klassifiziert,2018-05-10 00:00:00,45,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1110,Auto,Regen,5
882,nicht klassifiziert,2018-04-30 00:00:00,82,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1035,Bus,Gut,4
883,nicht klassifiziert,2018-11-15 00:00:00,15,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1535,Auto,Gut,11
884,nicht klassifiziert,2018-06-10 00:00:00,34,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1550,Auto,Gut,6
885,nicht klassifiziert,2018-02-10 00:00:00,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,nass / feucht,männlich,850,Auto,Gut,2
886,Bundesstrasse,2018-04-20 00:00:00,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,730,Fahrrad,Gut,4
887,nicht klassifiziert,2018-08-24 00:00:00,8,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1500,Auto,Gut,8
888,Bundesstrasse,2018-04-25 00:00:00,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,158,Auto,Gut,4
889,Bundesstrasse,2018-04-08 00:00:00,34,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,weiblich,1059,Auto,Gut,4
890,Bundesstrasse,2018-04-22 00:00:00,26,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,2105,Fahrrad,Gut,4
891,Bundesstrasse,2018-09-01 00:00:00,40,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1155,Fahrrad,Gut,9
892,nicht klassifiziert,2018-07-25 00:00:00,23,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,2000,Auto,Gut,7
893,Bundesstrasse,2010-12-05 00:00:00,39,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,Frost/ Ice,weiblich,1448,Auto,Gut,12
894,Bundesstrasse,2018-06-21 00:00:00,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,640,Auto,Gut,6
895,Bundesstrasse,2018-08-07 00:00:00,41,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,815,Fahrrad,Gut,8
896,nicht klassifiziert,2011-03-02 00:00:00,35,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1700,Auto,Gut,3
897,nicht klassifiziert,2018-12-15 00:00:00,2,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1535,Auto,Gut,12
898,Landesstrasse,2018-11-03 00:00:00,36,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1713,Transporter,Regen,11
899,nicht klassifiziert,2012-03-04 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1335,Auto,Gut,3
900,Bundesstrasse,2018-09-27 00:00:00,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,610,Taxi,Gut,9
901,Bundesstrasse,2018-09-18 00:00:00,47,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1840,Mottorrad (500cc),Gut,9
902,Autobahn,2018-01-11 00:00:00,20,Fussgänger,3,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,720,LKW ab 7.5t,Gut,1
903,nicht klassifiziert,2018-04-24 00:00:00,38,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1900,Auto,Gut,4
904,Bundesstrasse,2018-01-28 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1550,Fahrrad,Gut,1
905,nicht klassifiziert,2018-11-04 00:00:00,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1725,Auto,Gut,11
906,Bundesstrasse,2018-07-25 00:00:00,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,2045,Auto,Gut,7
907,nicht klassifiziert,2018-07-30 00:00:00,78,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1541,Bus,Gut,7
908,Autobahn,2018-06-30 00:00:00,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,trocken,männlich,845,Auto,Gut,6
909,Bundesstrasse,2018-08-22 00:00:00,40,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1130,Bus,Gut,8
910,Bundesstrasse,2010-10-13 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,850,Auto,Gut,10
911,Bundesstrasse,2012-10-03 00:00:00,30,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,1700,Auto,Gut,10
912,nicht klassifiziert,2018-07-22 00:00:00,77,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,weiblich,1950,Auto,Gut,7
913,nicht klassifiziert,2018-07-06 00:00:00,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1530,Mottorrad (50cc),Gut,7
914,Bundesstrasse,2018-03-19 00:00:00,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1525,Fahrrad,Gut,3
915,Autobahn,2018-11-08 00:00:00,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,3,trocken,männlich,1710,Auto,Gut,11
916,Landesstrasse,2018-05-08 00:00:00,25,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,trocken,weiblich,1815,Auto,Gut,5
917,Bundesstrasse,2018-02-09 00:00:00,33,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1730,Auto,Andere,2
918,nicht klassifiziert,2018-10-12 00:00:00,28,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,4,trocken,männlich,1658,Auto,Gut,10
919,nicht klassifiziert,2011-03-01 00:00:00,5,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1535,Auto,Gut,3
920,nicht klassifiziert,2009-05-18 00:00:00,31,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1328,Mottorrad (500cc),Gut,5
921,nicht klassifiziert,2018-11-26 00:00:00,47,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,5,nass / feucht,männlich,30,Auto,Gut,11
922,nicht klassifiziert,2009-12-10 00:00:00,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1210,Fahrrad,Gut,12
923,nicht klassifiziert,2018-09-27 00:00:00,15,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1620,Fahrrad,Gut,9
924,Bundesstrasse,2012-10-05 00:00:00,20,Fussgänger,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,nass / feucht,männlich,730,Auto,Gut,10
925,Bundesstrasse,2018-06-30 00:00:00,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1443,Auto,Gut,6
926,nicht klassifiziert,2018-01-10 00:00:00,23,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,3,trocken,männlich,54,Auto,Gut,1
927,nicht klassifiziert,2012-10-26 00:00:00,22,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1415,Mottorrad,Gut,10
928,Bundesstrasse,2018-11-04 00:00:00,26,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1920,Auto,Regen,11
929,Bundesstrasse,2018-07-12 00:00:00,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,845,Andere,Gut,7
930,nicht klassifiziert,2018-09-23 00:00:00,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1750,Fahrrad,Gut,9
931,Autobahn,2018-09-20 00:00:00,50,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,weiblich,712,Auto,Regen,9
932,nicht klassifiziert,2018-07-11 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1900,Auto,Gut,7
933,Autobahn,2018-08-21 00:00:00,19,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,8,1,trocken,männlich,1200,Auto,Gut,8
934,Bundesstrasse,2018-06-29 00:00:00,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1056,Auto,Gut,6
935,Landesstrasse,2018-07-20 00:00:00,56,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,740,Fahrrad,Gut,7
936,Autobahn,2011-10-21 00:00:00,49,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1135,Auto,Gut,10
937,Bundesstrasse,2018-11-02 00:00:00,40,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1920,Auto,Gut,11
938,Bundesstrasse,2018-08-28 00:00:00,77,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,920,Auto,Gut,8
939,Bundesstrasse,2010-05-14 00:00:00,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1455,Auto,Gut,5
940,Bundesstrasse,2018-08-09 00:00:00,45,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1705,Auto,Gut,8
941,nicht klassifiziert,2018-06-15 00:00:00,21,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1151,Auto,Gut,6
942,nicht klassifiziert,2018-08-23 00:00:00,51,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,900,Auto,Gut,8
943,Bundesstrasse,2009-10-20 00:00:00,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,2345,Auto,Gut,10
944,nicht klassifiziert,2018-06-30 00:00:00,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1040,Mottorrad,Gut,6
945,nicht klassifiziert,2018-02-18 00:00:00,21,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1838,Fahrrad,Schnee,2
946,Bundesstrasse,2018-07-18 00:00:00,63,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,weiblich,1115,Auto,Gut,7
947,Bundesstrasse,2018-01-24 00:00:00,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,Frost / Eis,weiblich,800,Auto,Gut,1
948,nicht klassifiziert,2012-05-24 00:00:00,57,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1635,Auto,Gut,5
949,Bundesstrasse,2018-08-27 00:00:00,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1400,Auto,Gut,8
950,nicht klassifiziert,2018-02-07 00:00:00,57,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,4,trocken,männlich,645,Auto,Gut,2
951,Bundesstrasse,2018-04-16 00:00:00,44,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,10,3,trocken,weiblich,1505,Auto,Gut,4
952,nicht klassifiziert,2012-05-25 00:00:00,32,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,männlich,2348,Bus,Gut,5
953,nicht klassifiziert,2009-10-29 00:00:00,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,28,Auto,Gut,10
954,nicht klassifiziert,2018-07-05 00:00:00,42,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,weiblich,1218,Bus,Gut,7
955,nicht klassifiziert,2018-11-23 00:00:00,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,1,trocken,weiblich,2240,Auto,Gut,11
956,Bundesstrasse,2018-04-02 00:00:00,61,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1636,Bus,Gut,4
957,nicht klassifiziert,2018-04-15 00:00:00,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1705,Auto,Gut,4
958,nicht klassifiziert,2018-06-04 00:00:00,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1415,Fahrrad,Gut,6
959,nicht klassifiziert,2018-02-15 00:00:00,27,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1745,Auto,Regen,2
960,nicht klassifiziert,2012-12-03 00:00:00,36,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und nicht beleuchtet,3,2,Frost / Eis,männlich,655,Auto,Gut,12
961,Bundesstrasse,2018-04-04 00:00:00,57,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1535,Mottorrad (500cc),Gut,4
962,Bundesstrasse,2012-10-03 00:00:00,34,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,2020,Auto,Regen,10
963,Kraftfahrzeugstrasse,2018-07-27 00:00:00,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,2130,Mottorrad (500cc),Gut,7
964,Bundesstrasse,2018-06-23 00:00:00,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1500,Auto,Gut,6
965,Autobahn,2018-07-08 00:00:00,60,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1800,Auto,Gut,7
966,nicht klassifiziert,2018-02-06 00:00:00,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1745,Fahrrad,Gut,2
967,Autobahn,2018-11-30 00:00:00,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1525,Auto,Gut,11
968,Bundesstrasse,2018-09-14 00:00:00,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1730,Auto,Gut,9
969,nicht klassifiziert,2012-10-15 00:00:00,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1615,Auto,Gut,10
970,nicht klassifiziert,2018-09-06 00:00:00,60,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1348,Auto,Gut,9
971,nicht klassifiziert,2018-06-05 00:00:00,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1834,Taxi,Regen,6
972,nicht klassifiziert,2018-01-29 00:00:00,23,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,2300,Taxi,Gut,1
973,nicht klassifiziert,2018-02-05 00:00:00,19,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2045,Auto,Nebel,2
974,Bundesstrasse,2018-09-25 00:00:00,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1945,Fahrrad,Gut,9
975,Bundesstrasse,2018-04-29 00:00:00,1,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,740,Auto,Gut,4
976,nicht klassifiziert,2018-07-31 00:00:00,67,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1155,Bus,Gut,7
977,nicht klassifiziert,2018-02-10 00:00:00,10,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1845,Auto,Gut,2
978,Bundesstrasse,2018-08-08 00:00:00,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,2048,Auto,Gut,8
979,Bundesstrasse,2018-07-16 00:00:00,40,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,6,2,trocken,männlich,320,Taxi,Gut,7
980,nicht klassifiziert,2018-11-26 00:00:00,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1630,Auto,Regen,11
981,nicht klassifiziert,2018-02-14 00:00:00,43,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,männlich,1953,Auto,Gut,2
982,nicht klassifiziert,2018-01-10 00:00:00,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,Schnee,männlich,4,Auto,Andere,1
983,Bundesstrasse,2018-01-23 00:00:00,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1645,Fahrrad,Gut,1
984,Bundesstrasse,2018-10-09 00:00:00,48,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,weiblich,1800,Auto,Gut,10
985,nicht klassifiziert,2018-02-06 00:00:00,30,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,1930,Auto,Gut,2
